"Commodity","Country","UOM","Category","SubCategory","YearNum","FoodValue"
"Sugar and candy","WORLD","Dollars per mt","Prices","Imported food prices",2007,883.5050149
"Cocoa and chocolate","WORLD","Dollars per mt","Prices","Imported food prices",2007,2357.06695
"Beverages","WORLD","Dollars per KL","Prices","Imported food prices",2007,1635.136211
"Meats","WORLD","Dollars per mt","Prices","Imported food prices",2008,3584.951112
"Fish and shellfish","WORLD","Dollars per mt","Prices","Imported food prices",2008,6182.012087
"Dairy","WORLD","Dollars per mt","Prices","Imported food prices",2008,5272.967614
"Vegetables","WORLD","Dollars per mt","Prices","Imported food prices",2008,1061.894892
"Fruits","WORLD","Dollars per mt","Prices","Imported food prices",2008,1023.579065
"Nuts","WORLD","Dollars per mt","Prices","Imported food prices",2008,3979.670006
"Coffee, tea, and spices","WORLD","Dollars per mt","Prices","Imported food prices",2008,2965.513577
"Grains","WORLD","Dollars per mt","Prices","Imported food prices",2008,789.3847334
"Vegetable oils","WORLD","Dollars per mt","Prices","Imported food prices",2008,1178.819982
"Sugar and candy","WORLD","Dollars per mt","Prices","Imported food prices",2008,824.5720429
"Cocoa and chocolate","WORLD","Dollars per mt","Prices","Imported food prices",2008,2961.486668
"Beverages","WORLD","Dollars per KL","Prices","Imported food prices",2008,1684.034615
"Meats","WORLD","Dollars per mt","Prices","Imported food prices",2009,3190.881417
"Fish and shellfish","WORLD","Dollars per mt","Prices","Imported food prices",2009,5756.587146
"Dairy","WORLD","Dollars per mt","Prices","Imported food prices",2009,4738.795518
"Vegetables","WORLD","Dollars per mt","Prices","Imported food prices",2009,1027.680381
"Fruits","WORLD","Dollars per mt","Prices","Imported food prices",2009,1026.717922
"Nuts","WORLD","Dollars per mt","Prices","Imported food prices",2009,3590.730337
"Coffee, tea, and spices","WORLD","Dollars per mt","Prices","Imported food prices",2009,2830.663741
"Grains","WORLD","Dollars per mt","Prices","Imported food prices",2009,779.6108877
"Vegetable oils","WORLD","Dollars per mt","Prices","Imported food prices",2009,912.2352411
"Sugar and candy","WORLD","Dollars per mt","Prices","Imported food prices",2009,903.4228757
"Cocoa and chocolate","WORLD","Dollars per mt","Prices","Imported food prices",2009,2972.63554
"Beverages","WORLD","Dollars per KL","Prices","Imported food prices",2009,1611.981782
"Meats","WORLD","Dollars per mt","Prices","Imported food prices",2010,3709.660955
"Fish and shellfish","WORLD","Dollars per mt","Prices","Imported food prices",2010,6198.420154
"Dairy","WORLD","Dollars per mt","Prices","Imported food prices",2010,5503.267974
"Vegetables","WORLD","Dollars per mt","Prices","Imported food prices",2010,1075.183874
"Fruits","WORLD","Dollars per mt","Prices","Imported food prices",2010,1061.262192
"Nuts","WORLD","Dollars per mt","Prices","Imported food prices",2010,4086.385239
"Coffee, tea, and spices","WORLD","Dollars per mt","Prices","Imported food prices",2010,3306.7666
"Grains","WORLD","Dollars per mt","Prices","Imported food prices",2010,830.5158984
"Vegetable oils","WORLD","Dollars per mt","Prices","Imported food prices",2010,985.0199516
"Sugar and candy","WORLD","Dollars per mt","Prices","Imported food prices",2010,1025.610588
"Cocoa and chocolate","WORLD","Dollars per mt","Prices","Imported food prices",2010,3514.606006
"Beverages","WORLD","Dollars per KL","Prices","Imported food prices",2010,1655.997927
"Meats","WORLD","Dollars per mt","Prices","Imported food prices",2011,4531.296748
"Fish and shellfish","WORLD","Dollars per mt","Prices","Imported food prices",2011,7017.138472
"Dairy","WORLD","Dollars per mt","Prices","Imported food prices",2011,6189.122373
"Vegetables","WORLD","Dollars per mt","Prices","Imported food prices",2011,1142.653775
"Fruits","WORLD","Dollars per mt","Prices","Imported food prices",2011,1156.152802
"Nuts","WORLD","Dollars per mt","Prices","Imported food prices",2011,5210.290828
"Coffee, tea, and spices","WORLD","Dollars per mt","Prices","Imported food prices",2011,4821.736973
"Grains","WORLD","Dollars per mt","Prices","Imported food prices",2011,946.7143079
"Vegetable oils","WORLD","Dollars per mt","Prices","Imported food prices",2011,1300.319184
"Sugar and candy","WORLD","Dollars per mt","Prices","Imported food prices",2011,1141.773384
"Cocoa and chocolate","WORLD","Dollars per mt","Prices","Imported food prices",2011,3565.084926
"Beverages","WORLD","Dollars per KL","Prices","Imported food prices",2011,1742.775912
"Meats","WORLD","Dollars per mt","Prices","Imported food prices",2012,4672.452491
"Fish and shellfish","WORLD","Dollars per mt","Prices","Imported food prices",2012,6973.322041
"Dairy","WORLD","Dollars per mt","Prices","Imported food prices",2012,5694.710685
"Vegetables","WORLD","Dollars per mt","Prices","Imported food prices",2012,1147.417666
"Fruits","WORLD","Dollars per mt","Prices","Imported food prices",2012,1137.914803
"Nuts","WORLD","Dollars per mt","Prices","Imported food prices",2012,4532.18495
"Coffee, tea, and spices","WORLD","Dollars per mt","Prices","Imported food prices",2012,4322.221121
"Grains","WORLD","Dollars per mt","Prices","Imported food prices",2012,856.5516712
"Vegetable oils","WORLD","Dollars per mt","Prices","Imported food prices",2012,1245.014756
"Sugar and candy","WORLD","Dollars per mt","Prices","Imported food prices",2012,1173.757912
"Cocoa and chocolate","WORLD","Dollars per mt","Prices","Imported food prices",2012,3310.191546
"Beverages","WORLD","Dollars per KL","Prices","Imported food prices",2012,1762.706017
"Meats","WORLD","Dollars per mt","Prices","Imported food prices",2013,4662.54909
"Fish and shellfish","WORLD","Dollars per mt","Prices","Imported food prices",2013,7477.421796
"Dairy","WORLD","Dollars per mt","Prices","Imported food prices",2013,6036.237189
"Vegetables","WORLD","Dollars per mt","Prices","Imported food prices",2013,1188.997694
"Fruits","WORLD","Dollars per mt","Prices","Imported food prices",2013,1150.939734
"Nuts","WORLD","Dollars per mt","Prices","Imported food prices",2013,4697.510568
"Coffee, tea, and spices","WORLD","Dollars per mt","Prices","Imported food prices",2013,3657.498802
"Grains","WORLD","Dollars per mt","Prices","Imported food prices",2013,788.7895574
"Vegetable oils","WORLD","Dollars per mt","Prices","Imported food prices",2013,1062.521891
"Sugar and candy","WORLD","Dollars per mt","Prices","Imported food prices",2013,1068.760421
"Cocoa and chocolate","WORLD","Dollars per mt","Prices","Imported food prices",2013,3190.731932
"Beverages","WORLD","Dollars per KL","Prices","Imported food prices",2013,1832.319667
"Meats","WORLD","Dollars per mt","Prices","Imported food prices",2014,5197.244506
"Fish and shellfish","WORLD","Dollars per mt","Prices","Imported food prices",2014,8185.102041
"Dairy","WORLD","Dollars per mt","Prices","Imported food prices",2014,6232.848935
"Vegetables","WORLD","Dollars per mt","Prices","Imported food prices",2014,1136.488677
"Fruits","WORLD","Dollars per mt","Prices","Imported food prices",2014,1218.414028
"Nuts","WORLD","Dollars per mt","Prices","Imported food prices",2014,4993.65348
"Coffee, tea, and spices","WORLD","Dollars per mt","Prices","Imported food prices",2014,3928.612005
"Grains","WORLD","Dollars per mt","Prices","Imported food prices",2014,886.8176607
"Vegetable oils","WORLD","Dollars per mt","Prices","Imported food prices",2014,978.0151005
"Sugar and candy","WORLD","Dollars per mt","Prices","Imported food prices",2014,1061.411592
"Cocoa and chocolate","WORLD","Dollars per mt","Prices","Imported food prices",2014,3648.711221
"Beverages","WORLD","Dollars per KL","Prices","Imported food prices",2014,1856.759713
"Meats","WORLD","Dollars per mt","Prices","Imported food prices",2015,5142.938028
"Fish and shellfish","WORLD","Dollars per mt","Prices","Imported food prices",2015,7416.416296
"Dairy","WORLD","Dollars per mt","Prices","Imported food prices",2015,5335.30572
"Vegetables","WORLD","Dollars per mt","Prices","Imported food prices",2015,1153.734538
"Fruits","WORLD","Dollars per mt","Prices","Imported food prices",2015,1241.726172
"Nuts","WORLD","Dollars per mt","Prices","Imported food prices",2015,5454.957619
"Coffee, tea, and spices","WORLD","Dollars per mt","Prices","Imported food prices",2015,3950.115687
"Grains","WORLD","Dollars per mt","Prices","Imported food prices",2015,920.7323923
"Vegetable oils","WORLD","Dollars per mt","Prices","Imported food prices",2015,1048.539819
"Sugar and candy","WORLD","Dollars per mt","Prices","Imported food prices",2015,1046.869337
